"ΑΑ","netlib","n","m","n.b","spA","spB","spC","Mac50","Mac90","Lambda50","Lambda90","RAD50","RAD90","GRAD50","GRAD90","minML50","minML90","mML50","mML90","gmML50","gmML90"
"36","pilotnov",2446,975,0.711794871794872,0.00558986938381867,0.340512820512821,0.0294358135731807,0.483754512635379,0.483754512635379,0.317948717948718,0.836,0.495384615384615,0.495384615384615,0.492307692307692,0.492307692307692,0.389447236180905,0.589195979899497,0.449250288350634,0.769319492502884,0.441274991462753,0.732623762944949
"37","qap12",8856,3192,0.897556390977444,0.00135501355013545,0.00751879699248115,0.670731707317073,0.498664152129499,0.498664152129499,0.498192108159094,0.498192108159094,0.523404255319149,0.914263199369582,0.707017244323032,1,0.998739363378506,0.998739363378506,0.665198237885463,0.665198237885463,0.705827250932616,0.705827250932616
"38","sc105",163,105,0.933333333333333,0.0198656149576395,0.19047619047619,0.00613496932515334,0.5,0.5,0.39047619047619,0.828571428571429,1,1,1,1,0.422680412371134,0.530927835051546,0.4625,0.70075,0.45971752869079,0.669666788968531
"39","sc205",317,205,0.965853658536585,0.0102331307224744,0.185365853658537,0.00315457413249209,0.5,0.5,0.4,0.846341463414634,1,1,1,1,0.425974025974026,0.527272727272727,0.463969658659924,0.695322376738306,0.461505160303775,0.67130421617129
"40","sc50a",78,50,0.94,0.041025641025641,0.2,0.0128205128205128,0.5,0.699999999999999,0.37,0.89,1,1,1,1,0.415730337078652,0.539325842696629,0.459459459459459,0.755675675675676,0.455922327309516,0.718019298165739
"41","scagr25",671,471,0.70276008492569,0.00545815258146887,0.380042462845011,0.707898658718331,0.49468085106383,0.49468085106383,0.231422505307856,0.929936305732484,0.630032644178455,0.895538628944505,0.627856365614799,0.893362350380849,0.468817204301075,1,0.485429992892679,0.954513148542999,0.481063930582886,0.965432259655236
"42","scagr7",185,129,0.75968992248062,0.0194846008799497,0.410852713178295,0.718918918918919,0.48046875,0.622265624999999,0.437984496124031,0.924806201550388,0.612648221343874,0.952569169960474,0.644268774703557,0.944664031620553,0.91869918699187,1,0.748031496062992,0.954330708661417,0.672127380208968,0.965688750126032
"43","scfxm1",600,330,0.809090909090909,0.0137979797979798,0.351515151515152,0.0383333333333333,0.46969696969697,0.46969696969697,0.322727272727273,0.844242424242424,0.540909090909091,0.540909090909091,0.459090909090909,0.919393939393939,0.397388059701493,0.578358208955224,0.445106382978723,0.742127659574468,0.439074104966054,0.710151313946449
"44","scfxm2",1200,660,0.795454545454545,0.00690530303030301,0.359090909090909,0.0383333333333333,0.5,0.5,0.318181818181818,0.853787878787879,0.540561031084155,0.540561031084155,0.458680818802123,0.921152388172858,0.636363636363636,1,0.545454545454545,0.902525252525253,0.564076074817766,0.92400642789316
"45","scfxm3",1800,990,0.795959595959596,0.00460493827160491,0.361616161616162,0.0383333333333333,0.5,0.5,0.316666666666667,0.852424242424243,0.540444893832154,0.540444893832154,0.458543983822042,0.9211324570273,0.633333333333333,1,0.544444444444444,0.901616161616162,0.562731433871138,0.923267933630097
"46","scorpion",466,388,0.963917525773196,0.00848413787000579,0.195876288659794,0.605150214592275,0.5,0.5,0.329896907216495,0.903865979381443,0.514175257731959,0.903350515463918,0.509803921568627,0.917647058823529,0.385542168674699,0.58433734939759,0.447222222222222,0.757916666666667,0.439057039958762,0.727783243664687
"47","scrs8",1275,490,0.959183673469388,0.00526290516206485,0.157142857142857,0.664313725490196,1,1,0.422448979591837,0.885918367346939,0.519387755102041,0.904285714285714,0.526530612244898,0.856836734693879,0.838056680161943,1,0.616010854816825,0.92415196743555,0.649960752347276,0.941232310147696
"48","sctap1",660,300,0.82,0.00945454545454549,0.513333333333333,0.545454545454545,0.5,0.5,0.745,0.745,0.433333333333333,0.863333333333333,0.719532554257095,0.820534223706177,1,1,0.83,0.83,0.863133825081604,0.863133825081604
"49","sctap2",2500,1090,0.884403669724771,0.00269137614678894,0.477981651376147,0.564,0.5,0.5,0.555963302752294,0.773853211009174,0.392561983471074,0.870064279155188,0.757575757575758,0.757575757575758,0.952797202797203,0.952797202797203,0.76398916967509,0.835439229843562,0.793247629788705,0.858676408680926
"50","sctap3",3340,1480,0.915540540540541,0.00196916976857098,0.460810810810811,0.55688622754491,0.5,0.5,0.543088881378844,0.782696857046299,0.430358350236646,0.905679513184584,0.724102564102564,0.724102564102564,0.915841584158416,0.915841584158416,0.674606643356643,0.829545454545455,0.705134984619721,0.846512940489299
"51","share1b",253,117,0.461538461538462,0.0398297354819094,0.88034188034188,0.122529644268775,0.510729613733906,0.510729613733906,0.762931034482759,0.945689655172414,0.508547008547009,0.946153846153846,0.568376068376068,0.857692307692308,1,1,0.837606837606838,0.958404558404558,0.868506872247912,0.968021071151682
"52","share2b",162,96,0.604166666666667,0.0499614197530864,0.25,0.222222222222222,0.529100529100529,0.529100529100529,0.384210526315789,0.946842105263158,0.557291666666667,0.940625,0.526041666666667,0.919791666666667,0.73,1,0.596551724137931,0.962068965517241,0.619847179807886,0.970621070839643
"53","shell",1777,536,0.996268656716418,0.00373554288210043,0.00373134328358204,0.75633089476646,1,1,0.372201492537313,0.900559701492537,0.500932835820896,0.900559701492537,0.611940298507463,0.898320895522388,0.741635687732342,1,0.581987577639752,0.933788819875776,0.610083184932443,0.948978133832357
"54","ship04l",2166,402,0.960199004975124,0.00732716840543357,0.654228855721393,0.977839335180055,0.497512437810945,0.497512437810945,0.503731343283582,0.904228855721393,0.498756218905473,0.891791044776119,0.50373599003736,0.870485678704857,0.558659217877095,0.558659217877095,0.53197099538563,0.74291364535267,0.531476917037543,0.712072689206214
"55","ship04s",1506,402,0.962686567164179,0.00726777797598988,0.654228855721393,0.968127490039841,0.497512437810945,0.497512437810945,0.506218905472637,0.903980099502488,0.495024875621891,0.891542288557214,0.503113325031133,0.870485678704857,0.558659217877095,0.558659217877095,0.53197099538563,0.74278180619644,0.532787995627357,0.711974742435096
"56","ship08l",4363,778,0.976863753213368,0.00379505858743223,0.530848329048843,0.981663992665597,0.498714652956298,0.498714652956298,0.504498714652956,0.894730077120823,0.496786632390745,0.892159383033419,0.505473277527366,0.877656149388281,0.547249647390691,0.547249647390691,0.526085493099966,0.729787950185123,0.525946727975917,0.700418844308962
"57","ship08s",2467,778,0.976863753213368,0.00374819077113531,0.530848329048843,0.967571949736522,0.498714652956298,0.498714652956298,0.503213367609255,0.89607969151671,0.494215938303342,0.892159383033419,0.506117192530586,0.877656149388281,0.547249647390691,0.547249647390691,0.526085493099966,0.73049478290138,0.525275447531038,0.700946882323406
"58","ship12l",5533,1151,0.984361424847958,0.00255571067709526,0.567332754126846,0.980842219410808,0.498262380538662,0.498262380538662,0.506516072980017,0.899913119026933,0.494352736750652,0.890095569070374,0.508061002178649,0.872331154684096,0.551177318596829,0.551177318596829,0.528323435358611,0.735175879396985,0.528949786847945,0.7050470735905
"59","ship12s",2869,1151,0.98262380538662,0.00250861617597142,0.567332754126846,0.963053328685953,0.498262380538662,0.498262380538662,0.506950477845352,0.901824500434405,0.498044328552803,0.898305084745763,0.509590235396687,0.872711421098518,0.555986427532719,0.555986427532719,0.530733944954128,0.739220183486239,0.531480121223596,0.708867837191273
"60","sierra",2735,1227,0.50040749796251,0.00238419831666836,0.636511817440913,0.712979890310786,1,1,0.505297473512632,0.950040749796251,0.223716381418093,0.950040749796251,0.786387863878639,0.950389503895039,1,1,0.670377409720337,0.966711919630736,0.710842790997161,0.974700319628921
"61","stair",614,356,0.865168539325843,0.0183133257694982,0.196629213483146,0.00162866449511401,0.47752808988764,0.47752808988764,0.389044943820225,0.896629213483146,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.409763313609467,0.502958579881657,0.453010279001468,0.744346549192364,0.450654733649787,0.702859717550953
"62","standata",1274,359,0.98050139275766,0.00706217777447382,0.0194986072423398,0.00549450549450547,0.501392757660167,0.501392757660167,0.402506963788301,0.902228412256267,1,1,0.493706293706294,0.493706293706294,0.802777777777778,1,0.602040816326531,0.934972170686456,0.634434365232764,0.949856946344348
"63","standgub",1383,361,0.980609418282548,0.00668585495019658,0.0193905817174514,0.00506146059291401,0.501385041551247,0.501385041551247,0.401662049861496,0.902216066481994,1,1,0.493741307371349,0.493741307371349,0.801104972375691,1,0.601476014760148,0.934870848708487,0.63376813572591,0.949850314362286
"64","standmps",1274,467,0.91220556745182,0.00651810716050549,0.246252676659529,0.00549450549450547,0.501070663811563,0.501070663811563,0.309421841541756,0.908993576017131,1,1,0.495166487647691,0.495166487647691,0.617521367521368,1,0.539942938659059,0.939372325249643,0.556256992353135,0.953411380645833
"65","stocfor1",165,117,0.675213675213675,0.025951825951826,0.0683760683760684,0.163636363636364,0.504273504273504,0.504273504273504,0.47008547008547,0.564102564102565,0.482905982905983,0.87948717948718,0.44017094017094,0.907692307692308,0.932203389830508,0.945762711864407,0.647727272727273,0.961363636363636,0.685627792672868,0.966330268349673
"66","stocfor2",3045,2157,0.68567454798331,0.00142462049325032,0.00370885489105244,0.377339901477833,0.500231803430691,0.500231803430691,0.469170143718127,0.469170143718127,0.500463606861382,0.88618451553083,0.505099675475197,0.876912378303199,0.93790546802595,0.93790546802595,0.646168108776267,0.646168108776267,0.684959957747989,0.684959957747989
"67","vtp_base",346,198,0.52020202020202,0.0153412740117942,0.297979797979798,0.0173410404624277,1,1,0.338383838383838,0.696969696969697,1,1,0.493606138107417,0.493606138107417,0.67,1,0.560402684563758,0.798657718120805,0.581707691528862,0.834847109936722
"68","wood1p",2595,244,0.979508196721312,0.11089421649452,0.00819672131147542,0.000385356454720598,0.493852459016393,0.493852459016393,0.497950819672131,0.497950819672131,1,1,0.5,0.5,0.493852459016393,0.493852459016393,0.495901639344262,0.495901639344262,0.495897405482536,0.495897405482536
"69","woodw",8418,1098,0.990892531876138,0.00405573363695888,0.0309653916211293,0.000475172249940647,0.5,0.5,0.484972677595628,0.484972677595628,1,1,0.499316005471956,0.499316005471956,0.488532110091743,0.488532110091743,0.494287020109689,0.494287020109689,0.494232794385269,0.494232794385269
